tray,x,y
396,-0.489359,0.489127
397,-0.542291,0.538983
398,-0.512670,0.512356
399,-0.507780,0.507660
400,-0.419599,0.403899
401,-0.514612,0.514197
402,-0.538474,0.535718
403,-0.538530,0.535767
404,-1.000000,-0.046814
405,-0.516424,0.515901
406,-0.494368,0.494304
407,-0.486114,0.485717
408,-1.000000,0.644725
409,-0.470679,0.468849
410,-0.429220,0.417385
411,-0.516370,0.515851
412,-1.000000,0.576321
413,-0.566094,0.558324
414,-0.480324,0.479517
415,-0.556693,0.550889
416,-0.523578,0.522515
417,-0.493708,0.493628
418,-1.000000,0.583642
419,-0.329694,0.225144
420,-0.502438,0.502426
421,-0.530003,0.528302
422,-0.541405,0.538229
423,-0.424359,0.410655
424,-0.546876,0.542843
425,-0.447091,0.440785
426,-0.554106,0.548798
427,-0.571709,0.562643
428,-0.530584,0.528818
429,-0.698027,0.639384
430,-0.446668,0.440254
431,-0.525280,0.524062
432,-0.459730,0.456189
433,-0.344881,0.266120
434,-0.430297,0.418854
435,-0.474321,0.472929
436,-0.499993,0.499993
437,-1.000000,0.256817
438,-1.000000,0.462334
439,-0.768566,0.668160
440,-0.727242,0.652383
441,-0.505082,0.505031
442,-1.000000,0.430348
443,-0.509766,0.509579
444,-0.541837,0.538597
445,-0.456250,0.452036
446,-0.482797,0.482183
447,-0.503960,0.503929
448,-0.568757,0.560383
449,-0.526048,0.524757
450,-1.000000,0.447491
451,-0.499202,0.499201
452,-0.524915,0.523731
453,-0.535280,0.532950
454,-0.602559,0.584842
455,-0.360103,0.300885
456,-0.407341,0.385688
457,-0.552980,0.547880
458,-0.482592,0.481964
459,-0.487105,0.486764
460,-0.494772,0.494716
461,-0.563774,0.556513
462,-0.528326,0.526805
463,-0.523952,0.522856
464,-0.501403,0.501399
465,-0.527792,0.526326
466,-0.475512,0.474249
467,-0.464357,0.461613
468,-0.470957,0.469162
469,-0.492786,0.492680
470,-0.309405,0.151917
471,-1.000000,0.335274
472,-0.488894,0.488642
473,-0.399504,0.373370
474,-0.577164,0.566754
475,-0.531831,0.529922
476,-1.000000,-0.400938
477,-0.473637,0.472167
478,-0.431788,0.420875
479,-0.530546,0.528785
480,-1.000000,0.289171
481,-0.500571,0.500570
482,-0.380044,0.340080
483,-0.516587,0.516054
484,-0.527339,0.525920
485,-0.518364,0.517713
486,-0.541622,0.538414
487,-0.439435,0.431007
488,-0.395293,0.366509
489,-0.494723,0.494666
490,-0.556458,0.550700
491,-0.520857,0.520021
492,-0.539576,0.536665
493,-0.293148,-0.018987
494,-0.477132,0.476034
495,-0.393491,0.363520
496,-0.520239,0.519451
497,-0.471686,0.469983
498,-0.343022,0.261495
499,-0.454612,0.450057
