index,var_B,APL,time
163,0.000000,232.476400,0.408485
164,0.000000,271.957600,0.464850
167,0.000000,0.000000,0.000061
165,0.000000,248.365000,0.435301
166,0.000000,160.101400,0.301060
168,0.000000,0.000000,0.191992
169,0.000000,248.365000,0.208886
170,0.000000,160.101400,0.227789
171,0.000000,0.000000,0.217879
172,0.000000,248.365000,0.209297
173,0.000000,160.101400,0.218271
174,0.000000,0.000000,0.222301
175,0.000000,248.365000,0.208126
176,0.000000,160.101400,0.220901
177,0.000000,0.000000,0.217431
178,0.000000,248.365000,0.223548
180,0.000000,0.000000,0.209813
179,0.000000,160.101400,0.214547
181,0.000000,248.365000,0.228052
183,0.000000,160.101400,0.208891
182,0.000000,0.000000,0.231788
184,0.000000,248.365000,0.204613
185,0.000000,160.101400,0.206548
186,0.000000,0.000000,0.207982
187,0.000000,126.034200,0.315056
188,0.000000,272.094400,0.532137
189,0.000000,366.280000,0.680554
190,0.000000,439.123200,0.795360
191,0.000000,463.338200,0.827606
192,0.000000,477.048200,0.846123
193,0.000000,484.686000,0.850686
194,0.000000,469.166800,0.826110
195,0.000000,433.449800,0.772240
196,0.000000,367.506600,0.672690
198,0.000000,123.153200,0.294228
197,0.000000,265.644400,0.526610
199,0.000000,75.189200,0.224391
200,0.000000,242.127200,0.487922
201,0.000000,356.811800,0.661227
202,0.000000,421.191000,0.755777
203,0.000000,459.744200,0.810894
204,0.000000,471.132600,0.829933
205,0.000000,476.464200,0.832038
206,0.000000,472.506200,0.827063
207,0.000000,449.572000,0.796897
208,0.000000,388.599200,0.707608
211,0.000000,388.599200,0.181682
209,0.000000,300.162400,0.598996
210,0.000000,165.952600,0.400457
212,0.000000,388.599200,0.187978
213,0.000000,300.162400,0.212501
214,0.000000,165.952600,0.211876
215,0.000000,388.599200,0.209542
216,0.000000,300.162400,0.226351
217,0.000000,165.952600,0.208046
218,0.000000,388.599200,0.208646
219,0.000000,300.162400,0.206387
220,0.000000,165.952600,0.215226
221,0.000000,388.599200,0.211780
222,0.000000,300.162400,0.207149
223,0.000000,165.952600,0.212157
224,0.000000,388.599200,0.211338
225,0.000000,300.162400,0.225248
226,0.000000,165.952600,0.211988
227,0.000000,388.599200,0.226818
228,0.000000,300.162400,0.204829
229,0.000000,165.952600,0.211045
230,0.000000,388.599200,0.213212
231,0.000000,300.162400,0.211261
232,0.000000,165.952600,0.226629
233,0.000000,388.599200,0.209265
234,0.000000,300.162400,0.195757
235,0.000000,165.952600,0.192486
236,0.000000,122.577200,0.318253
237,0.000000,274.085600,0.533149
238,0.000000,373.803800,0.689602
239,0.000000,432.403000,0.776547
240,0.000000,465.407000,0.819130
241,0.000000,476.207800,0.833950
242,0.000000,479.585000,0.838230
243,0.000000,469.009600,0.823669
244,0.000000,430.371800,0.769706
245,0.000000,382.022800,0.696338
247,0.000000,119.588600,0.305912
248,0.000000,382.022800,0.180489
246,0.000000,265.508400,0.540572
249,0.000000,119.588600,0.205029
250,0.000000,382.022800,0.214839
251,0.000000,265.508400,0.211484
252,0.000000,119.588600,0.207780
253,0.000000,382.022800,0.213967
254,0.000000,265.508400,0.210592
255,0.000000,119.588600,0.206945
256,0.000000,382.022800,0.212453
257,0.000000,265.508400,0.211415
258,0.000000,119.588600,0.208790
259,0.000000,382.022800,0.212259
260,0.000000,265.508400,0.212375
261,0.000000,119.588600,0.208195
262,0.000000,382.022800,0.211690
263,0.000000,265.508400,0.213338
264,0.000000,119.588600,0.226038
265,0.000000,382.022800,0.213113
266,0.000000,265.508400,0.209337
267,0.000000,119.588600,0.209136
268,0.000000,382.022800,0.211106
269,0.000000,265.508400,0.211816
270,0.000000,119.588600,0.206578
272,0.000000,265.508400,0.211988
271,0.000000,382.022800,0.230711
273,0.000000,119.588600,0.202594
274,0.000000,265.508400,0.210281
275,0.000000,382.022800,0.214736
276,0.000000,119.588600,0.211738
277,0.000000,265.508400,0.210580
278,0.000000,382.022800,0.210350
279,0.000000,119.588600,0.210935
280,0.000000,265.508400,0.212324
281,0.000000,382.022800,0.215632
282,0.000000,119.588600,0.212096
283,0.000000,265.508400,0.207610
284,0.000000,382.022800,0.207134
285,0.000000,126.481600,0.306968
286,0.000000,274.895400,0.541015
287,0.000000,375.049000,0.697825
288,0.000000,436.053800,0.789849
289,0.000000,472.297600,0.830242
290,0.000000,473.998200,0.832857
291,0.000000,477.956600,0.842073
292,0.000000,466.591200,0.820571
293,0.000000,430.114000,0.766551
294,0.000000,375.824000,0.688140
296,0.000000,124.835200,0.303851
295,0.000000,267.860200,0.552307
297,0.000000,375.824000,0.196380
298,0.000000,124.835200,0.200717
299,0.000000,267.860200,0.213289
300,0.000000,375.824000,0.213837
301,0.000000,124.835200,0.208319
302,0.000000,267.860200,0.213333
303,0.000000,375.824000,0.212957
304,0.000000,124.835200,0.224527
305,0.000000,267.860200,0.211632
306,0.000000,375.824000,0.209337
307,0.000000,124.835200,0.206691
309,0.000000,375.824000,0.212512
308,0.000000,267.860200,0.231846
310,0.000000,124.835200,0.218875
311,0.000000,375.824000,0.205735
312,0.000000,267.860200,0.209833
313,0.000000,124.835200,0.208060
314,0.000000,375.824000,0.209670
315,0.000000,267.860200,0.216132
316,0.000000,124.835200,0.211331
317,0.000000,375.824000,0.210694
318,0.000000,267.860200,0.213856
319,0.000000,124.835200,0.210695
320,0.000000,375.824000,0.210387
321,0.000000,267.860200,0.212335
322,0.000000,124.835200,0.210232
323,0.000000,375.824000,0.210418
324,0.000000,267.860200,0.210526
325,0.000000,124.835200,0.210520
326,0.000000,375.824000,0.212005
327,0.000000,267.860200,0.212217
328,0.000000,124.835200,0.208696
329,0.000000,375.824000,0.211476
330,0.000000,267.860200,0.211323
331,0.000000,124.835200,0.226266
332,0.000000,375.824000,0.198410
333,0.000000,267.860200,0.196663
334,0.000000,123.971200,0.312980
335,0.000000,275.757000,0.533535
336,0.000000,373.514200,0.682798
337,0.000000,431.889400,0.772610
338,0.000000,459.881200,0.809299
339,0.000000,481.963600,0.842153
340,0.000000,476.754800,0.837904
341,0.000000,460.976400,0.812845
342,0.000000,434.494600,0.772035
343,0.000000,380.651400,0.698246
345,0.000000,122.766200,0.306792
346,0.000000,380.651400,0.199345
344,0.000000,275.792600,0.560045
347,0.000000,122.766200,0.202050
348,0.000000,380.651400,0.210846
349,0.000000,275.792600,0.210826
